Product ID,Product Image URL,Product URL,Product Color,Product Size,Product Width,Market Price,Lenskart Price,Product Brand Name,Product Rating,Total Ratings
210831,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//a/i/aqualens-360-ml-combo-pack_csvfile-1684415777928-g_0026.jpg,https://www.lenskart.com/aqualens-comfort-combo-pack-360ml.html,,,,1098,598,Aqualens,0.0,
212049,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/blue-black-full-rim-square-hooper-superhero-lk-s16247-c1-sunglasses_img_4335_06_12_2023.jpg,https://www.lenskart.com/lenskart-lk-s-16247-c1-sunglasses.html,Black,8-12 yrs,128 mm,2000,2000,Hooper,0.0,
213638,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/hooper-hp-e15085m-c10-eyeglasses_img_9291_05_jan24.jpg,https://www.lenskart.com/hooper-hp-e15085m-c10-eyeglasses.html,Grey,5-8 yrs,120 mm,1000,1000,Hooper,0.0,
150946,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-blue-transparent-full-rim-rectangle-kids-(8-12-yrs)-hooper-poppin-hooper-hp-e10109-c3_kids-glasses_-blue-transparent-full-rim-rectangle-kids-(8-12-yrs)-hooper-poppin-hooper-hp-e10109-c3_g_0004_14_03_2022_23_03_2022.jpg,https://www.lenskart.com/hooper-hp-e10109-c3-eyeglasses.html,Blue,8-12 yrs,127 mm,1000,1000,Hooper,5.0,6
215261,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/pink-full-rim-cat-eye-john-jacobs-eco-acetate-jj-e16624-c1-eyeglasses_img_2820_15feb24.jpg,https://www.lenskart.com/john-jacobs-jj-e16624-c1-eyeglasses.html,Pink,Medium,134 mm,5000,5000,John Jacobs,0.0,
212072,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-rimless-rectangle-john-jacobs-supreme-steel-jj-e16286-c2-eyeglasses_img_4699_20_11_2023.jpg,https://www.lenskart.com/john-jacobs-jj-e16286-c2-eyeglasses.html,Black,Narrow,133 mm,3500,3500,John Jacobs,0.0,
212906,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-s16467-c1-sunglasses_img_3265_8dec23.jpg,https://www.lenskart.com/vincent-chase-vc-s16467-c1-sunglasses.html,Gold,Medium,137 mm,2000,2000,Vincent Chase Polarized,0.0,
150103,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-transparent-silver-full-rim-rectangle-john-jacobs-supreme-steel-jj-e14278-c2-eyeglasses_g_9913_28_04_2022.jpg,https://www.lenskart.com/john-jacobs-jj-e14278-c2-d-eyeglasses.html,Black,Wide,139 mm,5000,5000,John Jacobs,4.3,3
204383,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/green-transparent-purple-voilet-green-full-rim-rectangle-kids-(5-8-yrs)-hooper-flexi-hooper-hp-e15085m-c2-eyeglasses_g_5322_9_21_22.jpg,https://www.lenskart.com/hooper-hp-e10006m-c7-eyeglasses.html,Green,5-8 yrs,120 mm,1000,1000,Hooper,5.0,1
211691,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//a/i/aqualens-digital-lens-cleaner-100-ml._csvfile-1686813743262-g_2522.jpg,https://www.lenskart.com/aqualens-digital-lens-cleaner-100-ml.html,,,,150,135,Aqualens,0.0,
